FO,GEO,L,Lc,Lext,M,MUL,Rsh_c_n,Rsh_c_p,Rsh_ext_n,Rsh_ext_p,V_dd,V_th,W,a,beta_p_n,eps_cap,eps_semi,k_gate,mD_fac,mu_eff_n,mu_eff_p,rho_c_n,rho_c_p,tox,tsemi,C_load,C_par,C_wire,Edynamic,I_sub,I_tunnel,Ieff,Ioff,Lscale,NM_H,NM_L,Pstatic,R_avg_inv,R_wire,V_IH,V_IL,V_OH,V_OL,V_th_eff,area,config_hash,dVt,delay,delta,eot,n0,noise_margin,ring_oscillator_delay,slope_at_crossing
4.0,2.0,8.89e-09,2e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,5.57e-17,2.18e-18,7.87e-18,6.57e-09,2.93e-10,5.24e-18,8.39e-10,1.47e-10,3.69e-09,0.0306,0.0139,1.47e-11,119000000.0,45.0,0.0621,0.0271,0.0927,0.0132,0.597,8.69e-16,519763,0.275,7.83,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,2e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,2.78e-17,1.09e-18,7.87e-18,3.68e-09,1.47e-10,5.24e-18,4.2e-10,7.33e-11,3.69e-09,0.0306,0.0139,7.33e-12,238000000.0,45.0,0.0621,0.0271,0.0927,0.0132,0.597,8.69e-16,519663,0.275,8.77,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,2e-08,2e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,5.13e-17,1.09e-18,7.87e-18,6.03e-09,2.93e-10,5.24e-18,8.39e-10,1.47e-10,3.69e-09,0.0306,0.0139,1.47e-11,119000000.0,45.0,0.0621,0.0271,0.0927,0.0132,0.597,1.23e-15,519665,0.275,7.18,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,2.78e-17,1.09e-18,7.87e-18,3.68e-09,1.46e-10,5.24e-18,4.21e-10,7.32e-11,3.69e-09,0.0307,0.0139,7.32e-12,238000000.0,45.0,0.0621,0.0271,0.0928,0.0132,0.597,1.23e-15,519661,0.275,8.75,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,1e-08,2e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,5.13e-17,1.09e-18,7.87e-18,6.03e-09,2.93e-10,5.24e-18,8.36e-10,1.47e-10,3.69e-09,0.0306,0.0138,1.47e-11,120000000.0,45.0,0.0621,0.0271,0.0927,0.0134,0.597,1.05e-15,519658,0.275,7.21,0.275,6.180000000000001e-21,2.22,0.0138,0.0,-1.92
4.0,2.0,8.89e-09,1e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,2.57e-17,5.46e-19,7.87e-18,3.41e-09,1.47e-10,5.24e-18,4.18e-10,7.33e-11,3.69e-09,0.0306,0.0138,7.33e-12,239000000.0,45.0,0.0621,0.0271,0.0927,0.0134,0.597,1.05e-15,519720,0.275,8.16,0.275,6.180000000000001e-21,2.22,0.0138,0.0,-1.92
4.0,2.0,8.89e-09,2e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,2.57e-17,5.46e-19,7.87e-18,3.41e-09,1.47e-10,5.24e-18,4.2e-10,7.33e-11,3.69e-09,0.0306,0.0139,7.33e-12,238000000.0,45.0,0.0621,0.0271,0.0927,0.0132,0.597,1.23e-15,519758,0.275,8.12,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,5.13e-17,1.09e-18,7.87e-18,6.03e-09,2.93e-10,5.24e-18,8.41e-10,1.46e-10,3.69e-09,0.0307,0.0139,1.46e-11,119000000.0,45.0,0.0621,0.0271,0.0928,0.0132,0.597,1.58e-15,519685,0.275,7.17,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.9,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,4.47e-09,5e-09,2.57e-17,5.46e-19,7.87e-18,3.41e-09,1.46e-10,5.24e-18,4.21e-10,7.32e-11,3.69e-09,0.0307,0.0139,7.32e-12,238000000.0,45.0,0.0621,0.0271,0.0928,0.0132,0.597,1.58e-15,519689,0.275,8.1,0.275,6.180000000000001e-21,2.22,0.0139,0.0,-1.92
4.0,2.0,8.89e-09,4e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.186,0.424,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.84e-17,2.18e-18,7.87e-18,1.27e-08,6.05e-09,2.82e-190,1.2e-07,3.03e-09,2.38e-09,0.0706,0.0628,5.63e-10,1540000.0,45.0,0.114,0.065,0.184,0.0022,0.245,1.05e-15,43560,0.151,0.106,0.151,2.92e-21,1.43,0.0628,0.0,-5.13
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.186,0.424,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.4e-17,1.09e-18,7.87e-18,1.17e-08,6.05e-09,2.82e-190,1.2e-07,3.03e-09,2.38e-09,0.0706,0.0628,5.63e-10,1550000.0,45.0,0.114,0.065,0.184,0.0022,0.245,1.23e-15,43620,0.151,0.0974,0.151,2.92e-21,1.43,0.0628,0.0,-5.13
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.186,0.424,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.18e-17,5.46e-19,7.87e-18,1.12e-08,6.05e-09,2.82e-190,1.2e-07,3.03e-09,2.38e-09,0.0706,0.0628,5.63e-10,1550000.0,45.0,0.114,0.065,0.184,0.00221,0.245,1.58e-15,43556,0.151,0.0933,0.151,2.92e-21,1.43,0.0628,0.0,-5.13
4.0,2.0,8.89e-09,1e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.51e-17,2.18e-18,7.87e-18,1.22e-08,7.21e-09,6.83e-150,1.04e-07,3.61e-09,3.15e-09,0.127,0.114,1.25e-09,3320000.0,45.0,0.213,0.122,0.34,0.0083,0.308,5.14e-16,43549,0.23,0.117,0.23,8.85e-21,1.85,0.114,0.0,-4.0
4.0,2.0,8.89e-09,1e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,5.02e-17,4.37e-18,7.87e-18,2.16e-08,1.44e-08,6.83e-150,2.09e-07,7.21e-09,3.15e-09,0.127,0.114,2.5e-09,1660000.0,45.0,0.213,0.122,0.34,0.0083,0.308,5.14e-16,43613,0.23,0.104,0.23,8.85e-21,1.85,0.114,0.0,-4.0
4.0,2.0,8.89e-09,2e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.51e-17,2.18e-18,7.87e-18,1.22e-08,7.17e-09,6.83e-150,1.73e-07,3.58e-09,3.15e-09,0.129,0.116,1.24e-09,2010000.0,45.0,0.214,0.121,0.343,0.00429,0.308,6.92e-16,43572,0.23,0.0706,0.23,8.85e-21,1.85,0.116,0.0,-4.1
4.0,2.0,8.89e-09,1e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.07e-17,1.09e-18,7.87e-18,1.03e-08,7.21e-09,6.83e-150,1.04e-07,3.61e-09,3.15e-09,0.127,0.114,1.25e-09,3320000.0,45.0,0.213,0.122,0.34,0.0083,0.308,6.92e-16,43573,0.23,0.0986,0.23,8.85e-21,1.85,0.114,0.0,-4.0
4.0,2.0,8.89e-09,4e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.51e-17,2.18e-18,7.87e-18,1.22e-08,7.14e-09,6.83e-150,2.58e-07,3.57e-09,3.15e-09,0.13,0.117,1.24e-09,1340000.0,45.0,0.215,0.12,0.345,0.0023,0.308,1.05e-15,43569,0.23,0.0472,0.23,8.85e-21,1.85,0.117,0.0,-4.15
4.0,2.0,8.89e-09,2e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.07e-17,1.09e-18,7.87e-18,1.03e-08,7.17e-09,6.83e-150,1.73e-07,3.58e-09,3.15e-09,0.129,0.116,1.24e-09,2010000.0,45.0,0.214,0.121,0.343,0.0043,0.308,8.69e-16,43548,0.23,0.0596,0.23,8.85e-21,1.85,0.116,0.0,-4.1
4.0,2.0,8.89e-09,2e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,4.15e-17,2.18e-18,7.87e-18,1.79e-08,1.43e-08,6.83e-150,3.45e-07,7.17e-09,3.15e-09,0.129,0.116,2.48e-09,1000000.0,45.0,0.214,0.121,0.343,0.0043,0.308,8.69e-16,43618,0.23,0.0517,0.23,8.85e-21,1.85,0.116,0.0,-4.1
4.0,2.0,8.89e-09,4e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,5.02e-17,4.37e-18,7.87e-18,2.16e-08,1.43e-08,6.83e-150,5.16e-07,7.14e-09,3.15e-09,0.13,0.117,2.48e-09,671000.0,45.0,0.215,0.12,0.345,0.0023,0.308,1.05e-15,43620,0.23,0.0419,0.23,8.85e-21,1.85,0.117,0.0,-4.15
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,4.15e-17,2.18e-18,7.87e-18,1.79e-08,1.43e-08,6.83e-150,5.16e-07,7.14e-09,3.15e-09,0.13,0.117,2.48e-09,672000.0,45.0,0.215,0.12,0.345,0.0023,0.308,1.23e-15,43632,0.23,0.0346,0.23,8.85e-21,1.85,0.117,0.0,-4.15
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.07e-17,1.09e-18,7.87e-18,1.03e-08,7.14e-09,6.83e-150,2.58e-07,3.57e-09,3.15e-09,0.13,0.117,1.24e-09,1340000.0,45.0,0.215,0.12,0.345,0.0023,0.308,1.23e-15,43634,0.23,0.0399,0.23,8.85e-21,1.85,0.117,0.0,-4.15
4.0,2.0,8.89e-09,2e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,1.86e-17,5.46e-19,7.87e-18,9.35e-09,7.17e-09,6.83e-150,1.72e-07,3.58e-09,3.15e-09,0.129,0.116,1.24e-09,2010000.0,45.0,0.214,0.121,0.343,0.00431,0.308,1.23e-15,43640,0.23,0.0542,0.23,8.85e-21,1.85,0.116,0.0,-4.1
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,1.86e-17,5.46e-19,7.87e-18,9.35e-09,7.15e-09,6.83e-150,2.57e-07,3.57e-09,3.15e-09,0.13,0.117,1.24e-09,1350000.0,45.0,0.215,0.12,0.345,0.00231,0.308,1.58e-15,43589,0.23,0.0363,0.23,8.85e-21,1.85,0.117,0.0,-4.15
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.71e-17,1.09e-18,7.87e-18,1.6e-08,1.43e-08,6.83e-150,5.15e-07,7.15e-09,3.15e-09,0.13,0.117,2.48e-09,673000.0,45.0,0.215,0.12,0.345,0.00231,0.308,1.58e-15,43559,0.23,0.031,0.23,8.85e-21,1.85,0.117,0.0,-4.15
4.0,2.0,8.89e-09,1e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,1.14e-16,2.18e-18,7.87e-18,4.29e-08,1.05e-12,4.7699999999999996e-30,1.04e-08,5.23e-13,1.91e-09,0.147,0.141,1.81e-13,33400000.0,45.0,0.199,0.141,0.346,2.83e-06,0.487,5.14e-16,43551,0.0969,4.14,0.0969,1.38e-21,1.24,0.141,0.0,-9.64
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.21e-17,1.09e-18,7.87e-18,7.3e-09,1.98e-07,4.99e-82,4.69e-07,9.88e-08,4.4e-09,0.0998,0.053,3.42e-08,739000.0,45.0,0.2,0.118,0.299,0.0653,0.185,1.23e-15,43588,0.321,0.0156,0.321,1.87e-20,2.8,0.053,0.0,-2.37
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,2.42e-17,2.18e-18,7.87e-18,1.19e-08,3.95e-07,4.99e-82,9.38e-07,1.98e-07,4.4e-09,0.0998,0.053,6.84e-08,369000.0,45.0,0.2,0.118,0.299,0.0653,0.185,1.23e-15,43622,0.321,0.0127,0.321,1.87e-20,2.8,0.053,0.0,-2.37
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,3.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,2.98e-17,1.64e-18,7.87e-18,1.36e-08,5.93e-07,4.99e-82,1.4e-06,2.96e-07,4.4e-09,0.0997,0.0529,1.03e-07,247000.0,45.0,0.2,0.118,0.299,0.0655,0.185,1.58e-15,43583,0.321,0.0097,0.321,1.87e-20,2.8,0.0529,0.0,-2.37
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,9.93e-18,5.46e-19,7.87e-18,6.36e-09,1.98e-07,4.99e-82,4.68e-07,9.88e-08,4.4e-09,0.0997,0.0529,3.42e-08,741000.0,45.0,0.2,0.118,0.299,0.0655,0.185,1.58e-15,43598,0.321,0.0136,0.321,1.87e-20,2.8,0.0529,0.0,-2.37
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.99e-17,1.09e-18,7.87e-18,9.98e-09,3.95e-07,4.99e-82,9.35e-07,1.98e-07,4.4e-09,0.0997,0.0529,6.84e-08,370000.0,45.0,0.2,0.118,0.299,0.0655,0.185,1.58e-15,43542,0.321,0.0107,0.321,1.87e-20,2.8,0.0529,0.0,-2.37
4.0,2.0,8.89e-09,1e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.84e-17,2.18e-18,7.87e-18,2.37e-08,6.01e-11,1.81e-162,4.01e-08,3e-11,2.38e-09,0.139,0.132,1.04e-11,8640000.0,45.0,0.207,0.133,0.346,7.73e-05,0.414,5.14e-16,43634,0.151,0.591,0.151,2.92e-21,1.43,0.132,0.0,-6.36
4.0,2.0,8.89e-09,4e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.17e-16,4.37e-18,7.87e-18,4.47e-08,1.2e-10,1.81e-162,1.58e-07,6e-11,2.38e-09,0.14,0.133,2.08e-11,2190000.0,45.0,0.207,0.133,0.346,2.73e-05,0.414,1.05e-15,43563,0.151,0.283,0.151,2.92e-21,1.43,0.133,0.0,-6.37
4.0,2.0,8.89e-09,4e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.84e-17,2.18e-18,7.87e-18,2.37e-08,6e-11,1.81e-162,7.89e-08,3e-11,2.38e-09,0.14,0.133,1.04e-11,4390000.0,45.0,0.207,0.133,0.346,2.73e-05,0.414,1.05e-15,43581,0.151,0.3,0.151,2.92e-21,1.43,0.133,0.0,-6.37
4.0,2.0,8.89e-09,2e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.84e-17,2.18e-18,7.87e-18,2.37e-08,6e-11,1.81e-162,5.79e-08,3e-11,2.38e-09,0.14,0.133,1.04e-11,5980000.0,45.0,0.207,0.133,0.346,4.4e-05,0.414,6.92e-16,43597,0.151,0.409,0.151,2.92e-21,1.43,0.133,0.0,-6.36
4.0,2.0,8.89e-09,2e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.17e-16,4.37e-18,7.87e-18,4.47e-08,1.2e-10,1.81e-162,1.16e-07,6e-11,2.38e-09,0.14,0.133,2.08e-11,2990000.0,45.0,0.207,0.133,0.346,4.4e-05,0.414,6.92e-16,43554,0.151,0.386,0.151,2.92e-21,1.43,0.133,0.0,-6.36
4.0,2.0,8.89e-09,1e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.17e-16,4.37e-18,7.87e-18,4.47e-08,1.2e-10,1.81e-162,8.02e-08,6.01e-11,2.38e-09,0.139,0.132,2.08e-11,4320000.0,45.0,0.207,0.133,0.346,7.73e-05,0.414,5.14e-16,43562,0.151,0.557,0.151,2.92e-21,1.43,0.132,0.0,-6.36
4.0,2.0,8.89e-09,1e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.4e-17,1.09e-18,7.87e-18,2.18e-08,6.01e-11,1.81e-162,4.01e-08,3e-11,2.38e-09,0.139,0.132,1.04e-11,8640000.0,45.0,0.207,0.133,0.346,7.73e-05,0.414,6.92e-16,43622,0.151,0.544,0.151,2.92e-21,1.43,0.132,0.0,-6.36
4.0,2.0,8.89e-09,1e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.18e-17,5.46e-19,7.87e-18,2.09e-08,6.01e-11,1.81e-162,4.01e-08,3e-11,2.38e-09,0.139,0.132,1.04e-11,8640000.0,45.0,0.207,0.133,0.346,7.74e-05,0.414,1.05e-15,43598,0.151,0.521,0.151,2.92e-21,1.43,0.132,0.0,-6.36
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.4e-17,1.09e-18,7.87e-18,2.18e-08,6e-11,1.81e-162,7.89e-08,3e-11,2.38e-09,0.14,0.133,1.04e-11,4390000.0,45.0,0.207,0.133,0.346,2.74e-05,0.414,1.23e-15,43603,0.151,0.277,0.151,2.92e-21,1.43,0.133,0.0,-6.37
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.08e-16,2.18e-18,7.87e-18,4.09e-08,1.2e-10,1.81e-162,1.58e-07,6e-11,2.38e-09,0.14,0.133,2.08e-11,2200000.0,45.0,0.207,0.133,0.346,2.74e-05,0.414,1.23e-15,43565,0.151,0.259,0.151,2.92e-21,1.43,0.133,0.0,-6.37
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.04e-16,1.09e-18,7.87e-18,3.9e-08,1.2e-10,1.81e-162,1.58e-07,6e-11,2.38e-09,0.14,0.133,2.08e-11,2200000.0,45.0,0.207,0.133,0.346,2.74e-05,0.414,1.58e-15,43611,0.151,0.248,0.151,2.92e-21,1.43,0.133,0.0,-6.37
4.0,2.0,8.89e-09,2e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.08e-16,2.18e-18,7.87e-18,4.09e-08,1.2e-10,1.81e-162,1.16e-07,6e-11,2.38e-09,0.14,0.133,2.08e-11,2990000.0,45.0,0.207,0.133,0.346,4.4e-05,0.414,8.69e-16,43584,0.151,0.353,0.151,2.92e-21,1.43,0.133,0.0,-6.36
4.0,2.0,8.89e-09,2e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.4e-17,1.09e-18,7.87e-18,2.18e-08,6e-11,1.81e-162,5.79e-08,3e-11,2.38e-09,0.14,0.133,1.04e-11,5990000.0,45.0,0.207,0.133,0.346,4.4e-05,0.414,8.69e-16,43583,0.151,0.377,0.151,2.92e-21,1.43,0.133,0.0,-6.36
4.0,2.0,8.89e-09,2e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.18e-17,5.46e-19,7.87e-18,2.09e-08,6e-11,1.81e-162,5.78e-08,3e-11,2.38e-09,0.14,0.133,1.04e-11,5990000.0,45.0,0.207,0.133,0.346,4.41e-05,0.414,1.23e-15,43564,0.151,0.361,0.151,2.92e-21,1.43,0.133,0.0,-6.36
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.346,0.618,8.89e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,5.18e-17,5.46e-19,7.87e-18,2.09e-08,6e-11,1.81e-162,7.88e-08,3e-11,2.38e-09,0.14,0.133,1.04e-11,4400000.0,45.0,0.207,0.133,0.346,2.74e-05,0.414,1.58e-15,43545,0.151,0.265,0.151,2.92e-21,1.43,0.133,0.0,-6.37
4.0,2.0,8.89e-09,4e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.645,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.51e-17,2.18e-18,7.87e-18,2.27e-08,2.8e-08,2.58e-13,8.7e-07,1.4e-08,3.15e-09,0.256,0.234,9.03e-09,741000.0,45.0,0.382,0.242,0.638,0.00819,0.239,1.05e-15,43641,0.23,0.0261,0.23,8.85e-21,1.85,0.234,0.0,-4.22
4.0,2.0,8.89e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.645,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,2.07e-17,1.09e-18,7.87e-18,1.92e-08,2.8e-08,2.58e-13,8.69e-07,1.4e-08,3.15e-09,0.256,0.234,9.03e-09,742000.0,45.0,0.382,0.242,0.638,0.0082,0.239,1.23e-15,43640,0.23,0.0221,0.23,8.85e-21,1.85,0.234,0.0,-4.22
4.0,2.0,8.89e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.645,0.618,8.89e-09,0.5,1.0,3.9,11.7,3.9,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,1.86e-17,5.46e-19,7.87e-18,1.74e-08,2.8e-08,2.58e-13,8.66e-07,1.4e-08,3.15e-09,0.256,0.234,9.03e-09,745000.0,45.0,0.382,0.242,0.638,0.00823,0.239,1.58e-15,43560,0.23,0.0201,0.23,8.85e-21,1.85,0.234,0.0,-4.22
