Edynamic,Ieff,Ioff,Lscale,Pstatic,V_th_eff,area,delay,delta,n0,L,V_dd,V_th,W,k_gate,tox
5.76e-10,2.78e-06,1.36e-08,1.1e-08,2.73e-09,0.177,2.25e-16,0.00207,0.117,1.31,1.5e-08,0.2,0.2,1.5e-08,3.9,1e-09
1.42e-09,9.2e-06,3.4e-08,1.03e-08,6.8e-09,0.18,2.25e-16,0.00154,0.101,1.25,1.5e-08,0.2,0.2,1.5e-08,14.5,1e-09
5.76e-10,2.51e-07,7.11e-10,1.1e-08,1.42e-10,0.277,2.25e-16,0.023,0.117,1.31,1.5e-08,0.2,0.3,1.5e-08,3.9,1e-09
1.42e-09,7.15e-07,1.56e-09,1.03e-08,3.11e-10,0.28,2.25e-16,0.0198,0.101,1.25,1.5e-08,0.2,0.3,1.5e-08,14.5,1e-09
5.76e-10,1.36e-08,3.7e-11,1.1e-08,7.39e-12,0.377,2.25e-16,0.422,0.117,1.31,1.5e-08,0.2,0.4,1.5e-08,3.9,1e-09
1.42e-09,3.4e-08,7.12e-11,1.03e-08,1.42e-11,0.38,2.25e-16,0.417,0.101,1.25,1.5e-08,0.2,0.4,1.5e-08,14.5,1e-09
5.06e-09,5.83e-05,5.91e-08,1.03e-08,2.23e-08,0.162,2.25e-16,0.00046,0.101,1.25,1.5e-08,0.378,0.2,1.5e-08,14.5,1e-09
2.06e-09,1.66e-05,2.53e-08,1.1e-08,9.55e-09,0.156,2.25e-16,0.000654,0.117,1.31,1.5e-08,0.378,0.2,1.5e-08,3.9,1e-09
2.06e-09,9.22e-06,1.32e-09,1.1e-08,4.99e-10,0.256,2.25e-16,0.00118,0.117,1.31,1.5e-08,0.378,0.3,1.5e-08,3.9,1e-09
2.06e-09,2.72e-06,6.86e-11,1.1e-08,2.59e-11,0.356,2.25e-16,0.004,0.117,1.31,1.5e-08,0.378,0.4,1.5e-08,3.9,1e-09
2.06e-09,2.41e-07,3.57e-12,1.1e-08,1.35e-12,0.456,2.25e-16,0.0451,0.117,1.31,1.5e-08,0.378,0.5,1.5e-08,3.9,1e-09
2.06e-09,1.31e-08,1.85e-13,1.1e-08,7e-14,0.556,2.25e-16,0.829,0.117,1.31,1.5e-08,0.378,0.6,1.5e-08,3.9,1e-09
1.09e-08,0.000111,1.02e-07,1.03e-08,5.69e-08,0.144,2.25e-16,0.000355,0.101,1.25,1.5e-08,0.556,0.2,1.5e-08,14.5,1e-09
4.45e-09,2.4e-05,2.45e-09,1.1e-08,1.36e-09,0.235,2.25e-16,0.000666,0.117,1.31,1.5e-08,0.556,0.3,1.5e-08,3.9,1e-09
1.09e-08,8.42e-05,4.71e-09,1.03e-08,2.62e-09,0.244,2.25e-16,0.000469,0.101,1.25,1.5e-08,0.556,0.3,1.5e-08,14.5,1e-09
4.45e-09,1.65e-05,1.27e-10,1.1e-08,7.07e-11,0.335,2.25e-16,0.000968,0.117,1.31,1.5e-08,0.556,0.4,1.5e-08,3.9,1e-09
1.09e-08,5.72e-05,2.15e-10,1.03e-08,1.2e-10,0.344,2.25e-16,0.000689,0.101,1.25,1.5e-08,0.556,0.4,1.5e-08,14.5,1e-09
