Edynamic,Ieff,Ioff,Lscale,Pstatic,V_th_eff,area,delay,delta,n0,L,V_dd,V_th,W,k_gate,tox
4.45e-09,9.12e-06,6.61e-12,1.1e-08,3.67e-12,0.435,2.25e-16,0.00176,0.117,1.31,1.5e-08,0.556,0.5,1.5e-08,3.9,1e-09
4.45e-09,2.65e-06,3.44e-13,1.1e-08,1.91e-13,0.535,2.25e-16,0.00603,0.117,1.31,1.5e-08,0.556,0.6,1.5e-08,3.9,1e-09
4.45e-09,2.33e-07,1.79e-14,1.1e-08,9.92e-15,0.635,2.25e-16,0.0689,0.117,1.31,1.5e-08,0.556,0.7,1.5e-08,3.9,1e-09
4.45e-09,1.26e-08,9.28e-16,1.1e-08,5.15e-16,0.735,2.25e-16,1.27,0.117,1.31,1.5e-08,0.556,0.8,1.5e-08,3.9,1e-09
7.75e-09,4.64e-05,3.6e-07,1.1e-08,2.64e-07,0.114,2.25e-16,0.000456,0.117,1.31,1.5e-08,0.733,0.2,1.5e-08,3.9,1e-09
1.91e-08,0.000164,3.42e-07,1.03e-08,2.51e-07,0.126,2.25e-16,0.000318,0.101,1.25,1.5e-08,0.733,0.2,1.5e-08,14.5,1e-09
1.91e-08,0.000137,9.3e-09,1.03e-08,6.82e-09,0.226,2.25e-16,0.00038,0.101,1.25,1.5e-08,0.733,0.3,1.5e-08,14.5,1e-09
7.75e-09,3.89e-05,6.78e-09,1.1e-08,4.97e-09,0.214,2.25e-16,0.000543,0.117,1.31,1.5e-08,0.733,0.3,1.5e-08,3.9,1e-09
7.75e-09,3.14e-05,2.38e-10,1.1e-08,1.75e-10,0.314,2.25e-16,0.000673,0.117,1.31,1.5e-08,0.733,0.4,1.5e-08,3.9,1e-09
1.91e-08,0.00011,3.75e-10,1.03e-08,2.75e-10,0.326,2.25e-16,0.000473,0.101,1.25,1.5e-08,0.733,0.4,1.5e-08,14.5,1e-09
7.75e-09,2.39e-05,1.23e-11,1.1e-08,8.99e-12,0.414,2.25e-16,0.000883,0.117,1.31,1.5e-08,0.733,0.5,1.5e-08,3.9,1e-09
1.91e-08,8.3e-05,1.71e-11,1.03e-08,1.26e-11,0.426,2.25e-16,0.000627,0.101,1.25,1.5e-08,0.733,0.5,1.5e-08,14.5,1e-09
7.75e-09,1.64e-05,6.37e-13,1.1e-08,4.67e-13,0.514,2.25e-16,0.00129,0.117,1.31,1.5e-08,0.733,0.6,1.5e-08,3.9,1e-09
1.91e-08,5.6e-05,7.83e-13,1.03e-08,5.74e-13,0.526,2.25e-16,0.000928,0.101,1.25,1.5e-08,0.733,0.6,1.5e-08,14.5,1e-09
7.75e-09,9.02e-06,3.31e-14,1.1e-08,2.43e-14,0.614,2.25e-16,0.00234,0.117,1.31,1.5e-08,0.733,0.7,1.5e-08,3.9,1e-09
7.75e-09,2.59e-06,1.72e-15,1.1e-08,1.26e-15,0.714,2.25e-16,0.00817,0.117,1.31,1.5e-08,0.733,0.8,1.5e-08,3.9,1e-09
7.75e-09,2.24e-07,8.94e-17,1.1e-08,6.56e-17,0.814,2.25e-16,0.0944,0.117,1.31,1.5e-08,0.733,0.9,1.5e-08,3.9,1e-09
7.75e-09,1.21e-08,4.66e-18,1.1e-08,3.42e-18,0.914,2.25e-16,1.74,0.117,1.31,1.5e-08,0.733,1.0,1.5e-08,3.9,1e-09
2.94e-08,0.000217,0.000113,1.03e-08,0.000103,0.108,2.25e-16,0.000299,0.101,1.25,1.5e-08,0.911,0.2,1.5e-08,14.5,1e-09
2.94e-08,0.000109,1.94e-12,1.03e-08,1.76e-12,0.508,2.25e-16,0.000594,0.101,1.25,1.5e-08,0.911,0.6,1.5e-08,14.5,1e-09
1.2e-08,3.13e-05,3.32e-12,1.1e-08,3.02e-12,0.493,2.25e-16,0.000838,0.117,1.31,1.5e-08,0.911,0.6,1.5e-08,3.9,1e-09
1.2e-08,2.38e-05,6.14e-14,1.1e-08,5.6e-14,0.593,2.25e-16,0.0011,0.117,1.31,1.5e-08,0.911,0.7,1.5e-08,3.9,1e-09
2.94e-08,8.19e-05,6.22e-14,1.03e-08,5.67e-14,0.608,2.25e-16,0.000789,0.101,1.25,1.5e-08,0.911,0.7,1.5e-08,14.5,1e-09
1.2e-08,1.63e-05,3.19e-15,1.1e-08,2.91e-15,0.693,2.25e-16,0.00161,0.117,1.31,1.5e-08,0.911,0.8,1.5e-08,3.9,1e-09
1.2e-08,8.93e-06,1.66e-16,1.1e-08,1.51e-16,0.793,2.25e-16,0.00294,0.117,1.31,1.5e-08,0.911,0.9,1.5e-08,3.9,1e-09
1.2e-08,2.52e-06,8.61e-18,1.1e-08,7.85e-18,0.893,2.25e-16,0.0104,0.117,1.31,1.5e-08,0.911,1.0,1.5e-08,3.9,1e-09
2.94e-08,4.28e-07,2.72e-19,1.03e-08,2.48e-19,1.01,2.25e-16,0.151,0.101,1.25,1.5e-08,0.911,1.1,1.5e-08,14.5,1e-09
1.2e-08,2.15e-07,4.47e-19,1.1e-08,4.08e-19,0.993,2.25e-16,0.122,0.117,1.31,1.5e-08,0.911,1.1,1.5e-08,3.9,1e-09
4.2e-08,0.00027,0.00844,1.03e-08,0.0092,0.0902,2.25e-16,0.000287,0.101,1.25,1.5e-08,1.09,0.2,1.5e-08,14.5,1e-09
4.2e-08,0.000108,3.94e-13,1.03e-08,4.3e-13,0.69,2.25e-16,0.000717,0.101,1.25,1.5e-08,1.09,0.8,1.5e-08,14.5,1e-09
1.71e-08,2.37e-05,3.42e-16,1.1e-08,3.73e-16,0.772,2.25e-16,0.00132,0.117,1.31,1.5e-08,1.09,0.9,1.5e-08,3.9,1e-09
4.2e-08,8.07e-05,2.28e-16,1.03e-08,2.49e-16,0.79,2.25e-16,0.000957,0.101,1.25,1.5e-08,1.09,0.9,1.5e-08,14.5,1e-09
1.71e-08,1.62e-05,1.6e-17,1.1e-08,1.74e-17,0.872,2.25e-16,0.00193,0.117,1.31,1.5e-08,1.09,1.0,1.5e-08,3.9,1e-09
4.2e-08,2.71e-05,4.73e-19,1.03e-08,5.15e-19,0.99,2.25e-16,0.00285,0.101,1.25,1.5e-08,1.09,1.1,1.5e-08,14.5,1e-09
1.71e-08,8.83e-06,8.29e-19,1.1e-08,9.03e-19,0.972,2.25e-16,0.00355,0.117,1.31,1.5e-08,1.09,1.1,1.5e-08,3.9,1e-09
5.68e-08,0.000323,0.206,1.03e-08,0.26,0.0723,2.25e-16,0.000279,0.101,1.25,1.5e-08,1.27,0.2,1.5e-08,14.5,1e-09
2.31e-08,2.36e-05,3.04e-17,1.1e-08,3.85e-17,0.951,2.25e-16,0.00154,0.117,1.31,1.5e-08,1.27,1.1,1.5e-08,3.9,1e-09
5.68e-08,7.96e-05,2e-18,1.03e-08,2.53e-18,0.972,2.25e-16,0.00113,0.101,1.25,1.5e-08,1.27,1.1,1.5e-08,14.5,1e-09
7.39e-08,0.000376,2.63,1.03e-08,3.8,0.0543,2.25e-16,0.000273,0.101,1.25,1.5e-08,1.44,0.2,1.5e-08,14.5,1e-09
9.32e-08,0.000428,21.8,1.03e-08,35.4,0.0364,2.25e-16,0.000269,0.101,1.25,1.5e-08,1.62,0.2,1.5e-08,14.5,1e-09
1.15e-07,0.000481,130.0,1.03e-08,234.0,0.0185,2.25e-16,0.000266,0.101,1.25,1.5e-08,1.8,0.2,1.5e-08,14.5,1e-09
5.65e-10,2.68e-06,1.31e-08,1.1e-08,2.63e-09,0.177,2.17e-16,0.00211,0.117,1.31,1.5e-08,0.2,0.2,1.44e-08,3.9,1e-09
1.37e-09,8.87e-06,3.28e-08,1.03e-08,6.55e-09,0.18,2.17e-16,0.00155,0.101,1.25,1.5e-08,0.2,0.2,1.44e-08,14.5,1e-09
5.65e-10,2.41e-07,6.85e-10,1.1e-08,1.37e-10,0.277,2.17e-16,0.0234,0.117,1.31,1.5e-08,0.2,0.3,1.44e-08,3.9,1e-09
1.37e-09,6.89e-07,1.5e-09,1.03e-08,3e-10,0.28,2.17e-16,0.0199,0.101,1.25,1.5e-08,0.2,0.3,1.44e-08,14.5,1e-09
5.65e-10,1.31e-08,3.56e-11,1.1e-08,7.12e-12,0.377,2.17e-16,0.43,0.117,1.31,1.5e-08,0.2,0.4,1.44e-08,3.9,1e-09
1.37e-09,3.28e-08,6.86e-11,1.03e-08,1.37e-11,0.38,2.17e-16,0.42,0.101,1.25,1.5e-08,0.2,0.4,1.44e-08,14.5,1e-09
2.02e-09,1.6e-05,2.43e-08,1.1e-08,9.2e-09,0.156,2.17e-16,0.000666,0.117,1.31,1.5e-08,0.378,0.2,1.44e-08,3.9,1e-09
4.9e-09,5.62e-05,5.69e-08,1.03e-08,2.15e-08,0.162,2.17e-16,0.000463,0.101,1.25,1.5e-08,0.378,0.2,1.44e-08,14.5,1e-09
2.02e-09,8.88e-06,1.27e-09,1.1e-08,4.8e-10,0.256,2.17e-16,0.0012,0.117,1.31,1.5e-08,0.378,0.3,1.44e-08,3.9,1e-09
2.02e-09,2.62e-06,6.61e-11,1.1e-08,2.5e-11,0.356,2.17e-16,0.00407,0.117,1.31,1.5e-08,0.378,0.4,1.44e-08,3.9,1e-09
2.02e-09,2.33e-07,3.43e-12,1.1e-08,1.3e-12,0.456,2.17e-16,0.0459,0.117,1.31,1.5e-08,0.378,0.5,1.44e-08,3.9,1e-09
2.02e-09,1.26e-08,1.78e-13,1.1e-08,6.74e-14,0.556,2.17e-16,0.843,0.117,1.31,1.5e-08,0.378,0.6,1.44e-08,3.9,1e-09
1.06e-08,0.000107,9.88e-08,1.03e-08,5.49e-08,0.144,2.17e-16,0.000357,0.101,1.25,1.5e-08,0.556,0.2,1.44e-08,14.5,1e-09
1.06e-08,8.11e-05,4.54e-09,1.03e-08,2.52e-09,0.244,2.17e-16,0.000472,0.101,1.25,1.5e-08,0.556,0.3,1.44e-08,14.5,1e-09
4.36e-09,2.32e-05,2.36e-09,1.1e-08,1.31e-09,0.235,2.17e-16,0.000678,0.117,1.31,1.5e-08,0.556,0.3,1.44e-08,3.9,1e-09
1.06e-08,5.51e-05,2.08e-10,1.03e-08,1.15e-10,0.344,2.17e-16,0.000694,0.101,1.25,1.5e-08,0.556,0.4,1.44e-08,14.5,1e-09
4.36e-09,1.59e-05,1.23e-10,1.1e-08,6.81e-11,0.335,2.17e-16,0.000985,0.117,1.31,1.5e-08,0.556,0.4,1.44e-08,3.9,1e-09
4.36e-09,8.79e-06,6.37e-12,1.1e-08,3.54e-12,0.435,2.17e-16,0.00179,0.117,1.31,1.5e-08,0.556,0.5,1.44e-08,3.9,1e-09
4.36e-09,2.56e-06,3.31e-13,1.1e-08,1.84e-13,0.535,2.17e-16,0.00614,0.117,1.31,1.5e-08,0.556,0.6,1.44e-08,3.9,1e-09
4.36e-09,2.24e-07,1.72e-14,1.1e-08,9.55e-15,0.635,2.17e-16,0.0701,0.117,1.31,1.5e-08,0.556,0.7,1.44e-08,3.9,1e-09
4.36e-09,1.22e-08,8.94e-16,1.1e-08,4.96e-16,0.735,2.17e-16,1.29,0.117,1.31,1.5e-08,0.556,0.8,1.44e-08,3.9,1e-09
1.85e-08,0.000158,3.3e-07,1.03e-08,2.42e-07,0.126,2.17e-16,0.00032,0.101,1.25,1.5e-08,0.733,0.2,1.44e-08,14.5,1e-09
7.59e-09,3.75e-05,6.53e-09,1.1e-08,4.79e-09,0.214,2.17e-16,0.000553,0.117,1.31,1.5e-08,0.733,0.3,1.44e-08,3.9,1e-09
1.85e-08,0.000132,8.96e-09,1.03e-08,6.57e-09,0.226,2.17e-16,0.000382,0.101,1.25,1.5e-08,0.733,0.3,1.44e-08,14.5,1e-09
1.85e-08,0.000106,3.62e-10,1.03e-08,2.65e-10,0.326,2.17e-16,0.000476,0.101,1.25,1.5e-08,0.733,0.4,1.44e-08,14.5,1e-09
7.59e-09,3.03e-05,2.29e-10,1.1e-08,1.68e-10,0.314,2.17e-16,0.000684,0.117,1.31,1.5e-08,0.733,0.4,1.44e-08,3.9,1e-09
7.59e-09,2.31e-05,1.18e-11,1.1e-08,8.66e-12,0.414,2.17e-16,0.000899,0.117,1.31,1.5e-08,0.733,0.5,1.44e-08,3.9,1e-09
1.85e-08,8e-05,1.65e-11,1.03e-08,1.21e-11,0.426,2.17e-16,0.000631,0.101,1.25,1.5e-08,0.733,0.5,1.44e-08,14.5,1e-09
7.59e-09,1.58e-05,6.14e-13,1.1e-08,4.5e-13,0.514,2.17e-16,0.00131,0.117,1.31,1.5e-08,0.733,0.6,1.44e-08,3.9,1e-09
1.85e-08,5.4e-05,7.54e-13,1.03e-08,5.53e-13,0.526,2.17e-16,0.000934,0.101,1.25,1.5e-08,0.733,0.6,1.44e-08,14.5,1e-09
7.59e-09,8.69e-06,3.19e-14,1.1e-08,2.34e-14,0.614,2.17e-16,0.00238,0.117,1.31,1.5e-08,0.733,0.7,1.44e-08,3.9,1e-09
7.59e-09,2.49e-06,1.66e-15,1.1e-08,1.22e-15,0.714,2.17e-16,0.00831,0.117,1.31,1.5e-08,0.733,0.8,1.44e-08,3.9,1e-09
7.59e-09,2.16e-07,8.61e-17,1.1e-08,6.31e-17,0.814,2.17e-16,0.0961,0.117,1.31,1.5e-08,0.733,0.9,1.44e-08,3.9,1e-09
7.59e-09,1.17e-08,4.49e-18,1.1e-08,3.29e-18,0.914,2.17e-16,1.77,0.117,1.31,1.5e-08,0.733,1.0,1.44e-08,3.9,1e-09
2.85e-08,0.000209,0.000109,1.03e-08,9.93e-05,0.108,2.17e-16,0.0003,0.101,1.25,1.5e-08,0.911,0.2,1.44e-08,14.5,1e-09
1.17e-08,3.02e-05,3.19e-12,1.1e-08,2.91e-12,0.493,2.17e-16,0.000853,0.117,1.31,1.5e-08,0.911,0.6,1.44e-08,3.9,1e-09
2.85e-08,0.000105,1.87e-12,1.03e-08,1.7e-12,0.508,2.17e-16,0.000598,0.101,1.25,1.5e-08,0.911,0.6,1.44e-08,14.5,1e-09
2.85e-08,7.89e-05,6e-14,1.03e-08,5.46e-14,0.608,2.17e-16,0.000794,0.101,1.25,1.5e-08,0.911,0.7,1.44e-08,14.5,1e-09
1.17e-08,2.3e-05,5.91e-14,1.1e-08,5.39e-14,0.593,2.17e-16,0.00112,0.117,1.31,1.5e-08,0.911,0.7,1.44e-08,3.9,1e-09
1.17e-08,1.57e-05,3.07e-15,1.1e-08,2.8e-15,0.693,2.17e-16,0.00163,0.117,1.31,1.5e-08,0.911,0.8,1.44e-08,3.9,1e-09
2.85e-08,5.29e-05,2.74e-15,1.03e-08,2.5e-15,0.708,2.17e-16,0.00118,0.101,1.25,1.5e-08,0.911,0.8,1.44e-08,14.5,1e-09
1.17e-08,8.6e-06,1.6e-16,1.1e-08,1.45e-16,0.793,2.17e-16,0.00299,0.117,1.31,1.5e-08,0.911,0.9,1.44e-08,3.9,1e-09
1.17e-08,2.43e-06,8.3e-18,1.1e-08,7.56e-18,0.893,2.17e-16,0.0106,0.117,1.31,1.5e-08,0.911,1.0,1.44e-08,3.9,1e-09
1.17e-08,2.08e-07,4.31e-19,1.1e-08,3.93e-19,0.993,2.17e-16,0.124,0.117,1.31,1.5e-08,0.911,1.1,1.44e-08,3.9,1e-09
2.85e-08,4.13e-07,2.62e-19,1.03e-08,2.39e-19,1.01,2.17e-16,0.152,0.101,1.25,1.5e-08,0.911,1.1,1.44e-08,14.5,1e-09
4.07e-08,0.00026,0.00813,1.03e-08,0.00885,0.0902,2.17e-16,0.000289,0.101,1.25,1.5e-08,1.09,0.2,1.44e-08,14.5,1e-09
4.07e-08,0.000104,3.8e-13,1.03e-08,4.14e-13,0.69,2.17e-16,0.000722,0.101,1.25,1.5e-08,1.09,0.8,1.44e-08,14.5,1e-09
1.67e-08,2.29e-05,3.3e-16,1.1e-08,3.59e-16,0.772,2.17e-16,0.00135,0.117,1.31,1.5e-08,1.09,0.9,1.44e-08,3.9,1e-09
4.07e-08,7.78e-05,2.2e-16,1.03e-08,2.4e-16,0.79,2.17e-16,0.000963,0.101,1.25,1.5e-08,1.09,0.9,1.44e-08,14.5,1e-09
1.67e-08,1.57e-05,1.54e-17,1.1e-08,1.67e-17,0.872,2.17e-16,0.00197,0.117,1.31,1.5e-08,1.09,1.0,1.44e-08,3.9,1e-09
4.07e-08,5.18e-05,9.96e-18,1.03e-08,1.08e-17,0.89,2.17e-16,0.00145,0.101,1.25,1.5e-08,1.09,1.0,1.44e-08,14.5,1e-09
1.67e-08,8.5e-06,7.99e-19,1.1e-08,8.7e-19,0.972,2.17e-16,0.00362,0.117,1.31,1.5e-08,1.09,1.1,1.44e-08,3.9,1e-09
4.07e-08,2.61e-05,4.56e-19,1.03e-08,4.96e-19,0.99,2.17e-16,0.00287,0.101,1.25,1.5e-08,1.09,1.1,1.44e-08,14.5,1e-09
5.51e-08,0.000311,0.198,1.03e-08,0.251,0.0723,2.17e-16,0.000281,0.101,1.25,1.5e-08,1.27,0.2,1.44e-08,14.5,1e-09
2.27e-08,2.28e-05,2.93e-17,1.1e-08,3.71e-17,0.951,2.17e-16,0.00157,0.117,1.31,1.5e-08,1.27,1.1,1.44e-08,3.9,1e-09
7.17e-08,0.000362,2.53,1.03e-08,3.66,0.0543,2.17e-16,0.000275,0.101,1.25,1.5e-08,1.44,0.2,1.44e-08,14.5,1e-09
9.04e-08,0.000413,21.0,1.03e-08,34.1,0.0364,2.17e-16,0.000271,0.101,1.25,1.5e-08,1.62,0.2,1.44e-08,14.5,1e-09
1.11e-07,0.000464,125.0,1.03e-08,225.0,0.0185,2.17e-16,0.000268,0.101,1.25,1.5e-08,1.8,0.2,1.44e-08,14.5,1e-09
1.33e-09,8.53e-06,3.15e-08,1.03e-08,6.31e-09,0.18,2.08e-16,0.00156,0.101,1.25,1.5e-08,0.2,0.2,1.39e-08,14.5,1e-09
5.53e-10,2.58e-06,1.26e-08,1.1e-08,2.53e-09,0.177,2.08e-16,0.00215,0.117,1.31,1.5e-08,0.2,0.2,1.39e-08,3.9,1e-09
1.33e-09,6.63e-07,1.44e-09,1.03e-08,2.89e-10,0.28,2.08e-16,0.0201,0.101,1.25,1.5e-08,0.2,0.3,1.39e-08,14.5,1e-09
5.53e-10,2.32e-07,6.59e-10,1.1e-08,1.32e-10,0.277,2.08e-16,0.0238,0.117,1.31,1.5e-08,0.2,0.3,1.39e-08,3.9,1e-09
5.53e-10,1.26e-08,3.42e-11,1.1e-08,6.85e-12,0.377,2.08e-16,0.438,0.117,1.31,1.5e-08,0.2,0.4,1.39e-08,3.9,1e-09
1.33e-09,3.15e-08,6.6e-11,1.03e-08,1.32e-11,0.38,2.08e-16,0.422,0.101,1.25,1.5e-08,0.2,0.4,1.39e-08,14.5,1e-09
1.97e-09,1.54e-05,2.34e-08,1.1e-08,8.85e-09,0.156,2.08e-16,0.000678,0.117,1.31,1.5e-08,0.378,0.2,1.39e-08,3.9,1e-09
4.75e-09,5.41e-05,5.48e-08,1.03e-08,2.07e-08,0.162,2.08e-16,0.000466,0.101,1.25,1.5e-08,0.378,0.2,1.39e-08,14.5,1e-09
1.97e-09,8.54e-06,1.22e-09,1.1e-08,4.62e-10,0.256,2.08e-16,0.00122,0.117,1.31,1.5e-08,0.378,0.3,1.39e-08,3.9,1e-09
1.97e-09,2.52e-06,6.36e-11,1.1e-08,2.4e-11,0.356,2.08e-16,0.00415,0.117,1.31,1.5e-08,0.378,0.4,1.39e-08,3.9,1e-09
1.97e-09,2.24e-07,3.3e-12,1.1e-08,1.25e-12,0.456,2.08e-16,0.0467,0.117,1.31,1.5e-08,0.378,0.5,1.39e-08,3.9,1e-09
1.97e-09,1.22e-08,1.72e-13,1.1e-08,6.48e-14,0.556,2.08e-16,0.859,0.117,1.31,1.5e-08,0.378,0.6,1.39e-08,3.9,1e-09
1.03e-08,0.000103,9.51e-08,1.03e-08,5.28e-08,0.144,2.08e-16,0.00036,0.101,1.25,1.5e-08,0.556,0.2,1.39e-08,14.5,1e-09
4.27e-09,2.23e-05,2.27e-09,1.1e-08,1.26e-09,0.235,2.08e-16,0.000691,0.117,1.31,1.5e-08,0.556,0.3,1.39e-08,3.9,1e-09
1.03e-08,7.81e-05,4.37e-09,1.03e-08,2.43e-09,0.244,2.08e-16,0.000475,0.101,1.25,1.5e-08,0.556,0.3,1.39e-08,14.5,1e-09
1.03e-08,5.3e-05,2e-10,1.03e-08,1.11e-10,0.344,2.08e-16,0.000698,0.101,1.25,1.5e-08,0.556,0.4,1.39e-08,14.5,1e-09
4.27e-09,1.53e-05,1.18e-10,1.1e-08,6.55e-11,0.335,2.08e-16,0.001,0.117,1.31,1.5e-08,0.556,0.4,1.39e-08,3.9,1e-09
4.27e-09,8.45e-06,6.12e-12,1.1e-08,3.4e-12,0.435,2.08e-16,0.00182,0.117,1.31,1.5e-08,0.556,0.5,1.39e-08,3.9,1e-09
4.27e-09,2.46e-06,3.18e-13,1.1e-08,1.77e-13,0.535,2.08e-16,0.00625,0.117,1.31,1.5e-08,0.556,0.6,1.39e-08,3.9,1e-09
4.27e-09,2.15e-07,1.65e-14,1.1e-08,9.19e-15,0.635,2.08e-16,0.0714,0.117,1.31,1.5e-08,0.556,0.7,1.39e-08,3.9,1e-09
4.27e-09,1.17e-08,8.6e-16,1.1e-08,4.78e-16,0.735,2.08e-16,1.31,0.117,1.31,1.5e-08,0.556,0.8,1.39e-08,3.9,1e-09
1.79e-08,0.000152,3.17e-07,1.03e-08,2.33e-07,0.126,2.08e-16,0.000322,0.101,1.25,1.5e-08,0.733,0.2,1.39e-08,14.5,1e-09
7.44e-09,3.61e-05,6.28e-09,1.1e-08,4.6e-09,0.214,2.08e-16,0.000563,0.117,1.31,1.5e-08,0.733,0.3,1.39e-08,3.9,1e-09
1.79e-08,0.000127,8.63e-09,1.03e-08,6.33e-09,0.226,2.08e-16,0.000385,0.101,1.25,1.5e-08,0.733,0.3,1.39e-08,14.5,1e-09
1.79e-08,0.000102,3.48e-10,1.03e-08,2.55e-10,0.326,2.08e-16,0.000479,0.101,1.25,1.5e-08,0.733,0.4,1.39e-08,14.5,1e-09
7.44e-09,2.91e-05,2.21e-10,1.1e-08,1.62e-10,0.314,2.08e-16,0.000697,0.117,1.31,1.5e-08,0.733,0.4,1.39e-08,3.9,1e-09
7.44e-09,2.22e-05,1.14e-11,1.1e-08,8.33e-12,0.414,2.08e-16,0.000915,0.117,1.31,1.5e-08,0.733,0.5,1.39e-08,3.9,1e-09
1.79e-08,7.7e-05,1.59e-11,1.03e-08,1.16e-11,0.426,2.08e-16,0.000635,0.101,1.25,1.5e-08,0.733,0.5,1.39e-08,14.5,1e-09
1.79e-08,5.2e-05,7.26e-13,1.03e-08,5.32e-13,0.526,2.08e-16,0.000941,0.101,1.25,1.5e-08,0.733,0.6,1.39e-08,14.5,1e-09
7.44e-09,1.52e-05,5.9e-13,1.1e-08,4.33e-13,0.514,2.08e-16,0.00133,0.117,1.31,1.5e-08,0.733,0.6,1.39e-08,3.9,1e-09
7.44e-09,8.36e-06,3.07e-14,1.1e-08,2.25e-14,0.614,2.08e-16,0.00243,0.117,1.31,1.5e-08,0.733,0.7,1.39e-08,3.9,1e-09
7.44e-09,2.4e-06,1.59e-15,1.1e-08,1.17e-15,0.714,2.08e-16,0.00846,0.117,1.31,1.5e-08,0.733,0.8,1.39e-08,3.9,1e-09
7.44e-09,2.07e-07,8.28e-17,1.1e-08,6.07e-17,0.814,2.08e-16,0.0978,0.117,1.31,1.5e-08,0.733,0.9,1.39e-08,3.9,1e-09
7.44e-09,1.12e-08,4.32e-18,1.1e-08,3.17e-18,0.914,2.08e-16,1.81,0.117,1.31,1.5e-08,0.733,1.0,1.39e-08,3.9,1e-09
2.76e-08,0.000201,0.000105,1.03e-08,9.55e-05,0.108,2.08e-16,0.000302,0.101,1.25,1.5e-08,0.911,0.2,1.39e-08,14.5,1e-09
1.15e-08,2.9e-05,3.07e-12,1.1e-08,2.8e-12,0.493,2.08e-16,0.000869,0.117,1.31,1.5e-08,0.911,0.6,1.39e-08,3.9,1e-09
2.76e-08,0.000101,1.79e-12,1.03e-08,1.64e-12,0.508,2.08e-16,0.000602,0.101,1.25,1.5e-08,0.911,0.6,1.39e-08,14.5,1e-09
1.15e-08,2.21e-05,5.69e-14,1.1e-08,5.18e-14,0.593,2.08e-16,0.00114,0.117,1.31,1.5e-08,0.911,0.7,1.39e-08,3.9,1e-09
2.76e-08,7.59e-05,5.77e-14,1.03e-08,5.26e-14,0.608,2.08e-16,0.0008,0.101,1.25,1.5e-08,0.911,0.7,1.39e-08,14.5,1e-09
