Edynamic,Ieff,Ioff,Lscale,Pstatic,V_th_eff,area,delay,delta,n0,L,V_dd,V_th,W,k_gate,tox
5.76e-10,2.78e-06,1.36e-08,1.1e-08,2.73e-09,0.177,2.25e-16,0.00207,0.117,1.31,1.5e-08,0.2,0.2,1.5e-08,3.9,1e-09
1.42e-09,9.2e-06,3.4e-08,1.03e-08,6.8e-09,0.18,2.25e-16,0.00154,0.101,1.25,1.5e-08,0.2,0.2,1.5e-08,14.5,1e-09
2.26e-09,1.54e-05,5.45e-08,1.02e-08,1.09e-08,0.18,2.25e-16,0.00147,0.0983,1.24,1.5e-08,0.2,0.2,1.5e-08,25.0,1e-09
6.99e-10,3.73e-06,1.64e-08,1.07e-08,3.28e-09,0.178,2.25e-16,0.00188,0.111,1.29,1.5e-08,0.2,0.2,1.5e-08,14.5,2.66e-09
4.28e-10,1.64e-06,1.14e-08,1.19e-08,2.29e-09,0.172,2.25e-16,0.00261,0.138,1.38,1.5e-08,0.2,0.2,1.5e-08,14.5,7.07e-09
5.47e-10,2.56e-06,1.31e-08,1.11e-08,2.61e-09,0.176,2.25e-16,0.00214,0.12,1.32,1.5e-08,0.2,0.2,1.5e-08,25.0,7.07e-09
1.01e-09,6.15e-06,2.4e-08,1.04e-08,4.81e-09,0.179,2.25e-16,0.00165,0.104,1.26,1.5e-08,0.2,0.2,1.5e-08,25.0,2.66e-09
4.28e-10,5.7e-09,2.13e-11,1.19e-08,4.26e-12,0.397,2.25e-16,0.752,0.138,1.38,1.5e-08,0.2,0.425,1.5e-08,14.5,7.07e-09
5.47e-10,8.44e-12,2.36e-14,1.11e-08,4.73e-15,0.626,2.25e-16,649.0,0.12,1.32,1.5e-08,0.2,0.65,1.5e-08,25.0,7.07e-09
4.28e-10,1.06e-11,3.94e-14,1.19e-08,7.89e-15,0.622,2.25e-16,405.0,0.138,1.38,1.5e-08,0.2,0.65,1.5e-08,14.5,7.07e-09
1.28e-08,0.000124,1.18e-07,1.03e-08,7.06e-08,0.139,2.25e-16,0.000343,0.101,1.25,1.5e-08,0.6,0.2,1.5e-08,14.5,1e-09
2.03e-08,0.00021,1.84e-07,1.02e-08,1.1e-07,0.141,2.25e-16,0.000323,0.0983,1.24,1.5e-08,0.6,0.2,1.5e-08,25.0,1e-09
6.29e-09,4.84e-05,6.19e-08,1.07e-08,3.72e-08,0.133,2.25e-16,0.000433,0.111,1.29,1.5e-08,0.6,0.2,1.5e-08,14.5,2.66e-09
4.93e-09,3.21e-05,5.3e-08,1.11e-08,3.18e-08,0.128,2.25e-16,0.000512,0.12,1.32,1.5e-08,0.6,0.2,1.5e-08,25.0,7.07e-09
3.86e-09,1.92e-05,5.3e-08,1.19e-08,3.18e-08,0.117,2.25e-16,0.000668,0.138,1.38,1.5e-08,0.6,0.2,1.5e-08,14.5,7.07e-09
6.29e-09,2.51e-05,7.2e-11,1.07e-08,4.32e-11,0.358,2.25e-16,0.000836,0.111,1.29,1.5e-08,0.6,0.425,1.5e-08,14.5,2.66e-09
